series_name,include_main_mod,uvmod_break_found,uvmod_break_date,uvmod_mu1,uvmod_mu2,uvmod_delta,uvmod_ratio_break,uvmod_pct_change_break,uvmod_ssr_nobreak,uvmod_ssr_best,uvmod_ssr_gain_pct,uvmod_supw_found,uvmod_supw_stat,uvmod_supw_hac_lag,uvmod_supw_break_date,uvmod_supw_mu1,uvmod_supw_mu2,uvmod_supw_ratio,uvmod_supw_pct_change,uvmod_hansen_pval,uvmod_hansen_sig5
UNRATE,1,1,01-Feb-2020,0.143741116894307,0.484989326264193,0.341248209369886,3.37404729240281,237.404729240281,187.913123461761,181.59452078121,3.3625127208516,1,3.07448866797684,5,01-Aug-2006,0.113306919837734,0.257793379126891,2.27517771638373,127.517771638374,0.542667157277361,0
UEMPMEAN,1,1,01-Jan-2018,0.718623591724707,1.66707456994121,0.948450978216507,2.31981608889323,131.981608889323,383.794275371984,323.844081596669,15.6203981201152,1,33.1906972813572,5,01-Feb-2007,0.483868581471269,1.21711418264555,2.51538171572277,151.538171572277,3.43972792138381e-07,1
UEMPLT5,1,1,01-Feb-2020,0.0646493073792817,0.153412640345026,0.0887633329657444,2.37299743127937,137.299743127937,6.8576428606992,6.43013167015108,6.23408362366262,1,7.38001294847852,5,01-Dec-2007,0.0496642529391751,0.100663520654481,2.02688079850443,102.688079850443,0.0881908764666477,0
UEMP5TO14,1,1,01-Mar-2020,0.0517521204096237,0.142781313999926,0.0910291935903022,2.75894616239482,175.894616239482,5.42031046877249,4.97546623890856,8.20698800238054,1,4.07925928667147,5,01-Jan-2006,0.0460758484979042,0.0797877014038956,1.73165994778207,73.1659947782074,0.366026946299591,0
UEMP15OV,1,1,01-Mar-2020,0.0424795277419714,0.0992192170065588,0.0567396892645874,2.33569491660159,133.569491660159,1.99152963403677,1.81869909800526,8.67828090919196,1,6.40493477185706,5,01-Jun-2020,0.0458034659011208,0.0886444942793775,1.93532285243961,93.5322852439609,0.136087276163965,0
UEMP15T26,1,1,01-Apr-2020,0.066306709899451,0.145897453371696,0.0795907434722453,2.20034222166864,120.034222166864,4.28419992534847,3.94781434661856,7.85177126631304,1,7.34506345533324,5,01-Sep-2007,0.0551025446205886,0.0961645868119325,1.74519321156725,74.5193211567247,0.089585052309413,0
UEMP27OV,1,1,01-Mar-2020,0.0570861333078707,0.10448935293341,0.0474032196255393,1.83038063499396,83.0380634993957,1.40809508832527,1.28746316540504,8.56702959341398,1,7.66388177591918,5,01-Jan-2020,0.057119171300489,0.103015566485074,1.80351997656157,80.3519976561567,0.0776156618540412,0
CLAIMSx,1,1,01-Feb-2020,0.0399601170380202,0.146660589425913,0.106700472387893,3.67017417107093,267.017417107093,11.2400473108628,10.6083029286232,5.62047796390518,1,3.92830585944909,5,01-Mar-2020,0.0516437970077903,0.105622904855863,2.04521958058062,104.521958058062,0.389031157384514,0
PAYEMS,1,1,01-Feb-2020,0.00140012327592287,0.00579089089490845,0.00439076761898557,4.13598644811576,313.598644811576,0.0362113898487416,0.0351416218312633,2.95423075984323,1,2.40333839436634,5,01-Dec-2021,0.00258487660960577,0.00108895145656563,0.421277925808501,-57.8722074191499,0.691206209444252,0
USGOOD,1,1,01-Feb-2020,0.00346080608808624,0.00577809790805683,0.00231729181997058,1.66958152551448,66.9581525514478,0.0278934282789093,0.0275954599114412,1.06823859903016,1,6.50330216047102,5,01-Dec-2021,0.00434125758135624,0.00185923684472688,0.428271488130875,-57.1728511869125,0.130310689969063,0
CES1021000001,1,1,01-Apr-2008,0.00642531567728824,0.0107959246906513,0.00437060901336304,1.68021700922991,68.0217009229907,0.0325582546151648,0.0311560926600531,4.30662506846605,1,13.1143528936292,5,01-Oct-2004,0.00536616556287997,0.0103668067669153,1.93188351075615,93.1883510756152,0.00616951283024214,1
USCONS,1,1,01-Mar-2021,0.00646674834749939,0.00243409978592551,-0.00403264856157388,0.376402429030155,-62.3597570969845,0.0467920303413843,0.0460171464276423,1.65601686459982,1,12.1824237892053,5,01-Dec-2021,0.00637088809196679,0.00223335679557517,0.35055658855337,-64.944341144663,0.00958712006078166,1
MANEMP,1,1,01-Feb-2020,0.00309058499540834,0.00537014520672877,0.00227956021132042,1.73758211300034,73.7582113000338,0.0220613292228169,0.0217729852749757,1.30701076498573,1,5.1307208175096,5,01-Dec-2021,0.00389576591254894,0.00185831646220315,0.477009272096456,-52.2990727903544,0.236358861412387,0
DMANEMP,1,1,01-Mar-2020,0.00378595917438853,0.00607433065880013,0.0022883714844116,1.60443638692464,60.4436386924641,0.0283818332313897,0.0280942206273761,1.01336866321774,1,5.35089185384304,5,01-Dec-2021,0.00462258905249263,0.0023426154509616,0.50677562386784,-49.322437613216,0.215170592549664,0
NDMANEMP,1,1,01-Feb-2020,0.00252442828062584,0.00483840631228233,0.0023139780316565,1.91663449083324,91.663449083324,0.0140880124508312,0.0137908956792465,2.10900418083634,1,3.41186750219502,5,01-Dec-2021,0.00323638946252171,0.00186710489377583,0.576909829733851,-42.3090170266149,0.47708201269262,0
SRVPRD,1,1,01-Feb-2020,0.00116660233880963,0.00588095901323369,0.00471435667442406,5.04109996833579,404.109996833579,0.0381936403464386,0.0369603833779236,3.22895895057043,1,1.97703187845133,5,01-Dec-2021,0.00240289708622098,0.00103398955510706,0.430309546353984,-56.9690453646016,0.794822559317751,0
USTPU,1,1,01-Feb-2020,0.00180904672115714,0.00553033670774158,0.00372128998658444,3.05704470927326,205.704470927326,0.0253834303097119,0.0246150154883946,3.02723001557196,1,3.04329585094687,5,01-Dec-2021,0.00283854676699515,0.00140230338230419,0.494021588303318,-50.5978411696682,0.549053058666489,0
USWTRADE,1,1,01-Feb-2020,0.00197540562775864,0.00375423612693439,0.00177883049917575,1.90048872706416,90.0488727064159,0.00819612177832956,0.00802054064880192,2.14224647066467,1,1.72419194827692,5,01-Dec-2019,0.00198556038416536,0.00367044626922417,1.84856945096991,84.8569450969911,0.856943750061758,0
